     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y38 |   0.00 |   3.33 |  -3.13 |   3.22 |   0.64 |   0.56 |   5.51 |   1.84 |   0.51 |   4.09 |   2.04 |   0.20 |   0.00 |  -2.44 |   6.98 |  -2.09 |   0.13 |   0.33 |   0.00 |  -5.04 |   4.76 |   0.02 |  -3.47 |  -3.91 |   0.62 |   0.49 |   2.76 |  -1.53 |   3.89 |   4.93 |   0.00 |  -0.07 |  -0.84 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.22 |   0.00 |  34.87 |
  y1 |   1.00 |   0.22 |  -0.02 |  -0.30 |  -0.06 |   0.93 |   0.25 |   0.81 |   0.92 |   0.01 |   0.01 |   0.53 |   0.00 |  -0.41 |   0.50 |   0.65 |   0.36 |  -0.11 |   0.00 |  -0.01 |   1.13 |   0.50 |  -0.58 |  -0.65 |  -0.23 |   0.08 |   0.79 |   0.58 |   0.15 |   0.82 |   0.00 |   0.16 |  -0.14 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.04 |   0.00 |   1.64 |
 y40 |   0.00 | -11.22 |  -1.78 |   3.96 |   5.59 |  -6.26 | -10.52 |  -4.07 |  -7.19 |   2.85 |  -2.07 |   1.67 |   0.00 |   3.07 |  -8.96 |  -0.52 |  -4.56 |  -2.89 |   0.00 |  -5.93 |  -4.26 |  -3.04 |   2.78 |   5.52 |   0.30 |   3.19 | -10.93 | -12.78 |  -4.48 |  -1.22 |   0.00 |  -0.56 |   0.41 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.37 |   1.00 |   2.56 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |  17.27 |   1.64 |  -5.12 |  -6.27 |  14.27 |  20.06 |  13.19 |  18.11 |   2.93 |   6.31 |   0.92 |   0.00 |   0.00 |  15.45 |   3.00 |  12.47 |   8.39 |   0.00 |   8.77 |   9.39 |  11.18 |  -8.73 | -11.93 |   2.43 |  -2.57 |  25.30 |  17.08 |   8.52 |   5.12 |   1.00 |   1.03 |  -1.44 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   2.10 |  -1.39 |  29.80 |
 y19 |   0.00 |   0.14 |   0.40 |  -0.40 |  -0.03 |   0.67 |   0.40 |   1.27 |   1.16 |  -0.05 |  -0.27 |   0.48 |   0.00 |   0.00 |   0.36 |   0.88 |   1.06 |   0.54 |   1.00 |   0.85 |   1.13 |   0.51 |  -0.27 |  -0.24 |   0.07 |   0.13 |   0.61 |   0.99 |  -0.12 |   0.22 |   0.00 |   0.17 |  -0.01 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.01 |  -0.07 |   0.08 |
 y13 |   0.00 |   2.67 |   0.93 |   0.04 |  -0.40 |   2.12 |   2.57 |   1.08 |   1.96 |   0.24 |   1.42 |   0.69 |   1.00 |   0.00 |   2.39 |   0.73 |   0.94 |   0.63 |   0.00 |   1.26 |   1.45 |   1.63 |   0.49 |  -0.15 |   1.01 |   0.38 |   2.68 |   2.86 |   1.69 |   1.33 |   0.00 |   0.10 |  -0.11 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.32 |  -0.08 |   3.73 |
 y34 |   0.00 |  -6.78 |   2.39 |   1.90 |  12.26 |  -6.99 |  -9.79 |   2.51 |  -1.15 |   9.22 |   3.49 |   8.02 |   0.00 |   0.00 |  -9.16 |   0.52 |  -5.71 |   0.31 |   0.00 |  -4.62 |   2.00 |   0.46 |   2.90 |   7.93 |  -0.30 |   8.59 |  -8.28 |  -6.81 |  -3.18 |  -1.27 |   0.00 |  -0.34 |  -0.11 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.52 |   0.89 |  30.92 |
 y35 |   0.00 |   8.68 |   2.89 |  -2.75 |  -4.38 |   4.84 |  -1.19 |   1.39 |  -1.50 |   1.09 |   4.11 |   1.25 |   0.00 |   0.00 |   0.10 |  -1.30 |  -0.82 |   3.43 |   0.00 |  -0.39 |   4.56 |   1.99 |  -0.18 |  -1.65 |  -4.12 |  -4.14 |   0.17 |  -1.41 |  -1.15 |   2.48 |   0.00 |  -0.08 |  -0.56 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.23 |  -0.59 |  11.50 |
 y36 |   0.00 |   5.57 |  -1.19 |   0.19 |   6.08 |   5.98 |  -0.21 |   1.18 |   4.51 |   1.15 |   0.82 |   1.56 |   0.00 |   0.00 |   7.92 |   2.35 |   4.81 |   2.37 |   0.00 |  -3.55 |   4.61 |   5.47 |  -0.20 |  -1.27 |  -2.20 |   3.62 |   7.16 |   7.03 |   2.36 |  10.33 |   0.00 |   0.48 |  -0.98 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.04 |   0.22 |  21.75 |
 y37 |   0.00 |  -1.77 |   0.14 |   0.23 |   9.08 |   1.10 |  -0.84 |   1.07 |  -2.73 |   3.79 |   4.43 |   2.65 |   0.00 |   0.00 |   0.71 |   4.68 |  -1.65 |   3.01 |   0.00 |   4.51 |   1.46 |   2.70 |   5.69 |   3.98 |   3.61 |   5.20 |  -2.76 |  -4.52 |   5.05 |   3.86 |   0.00 |  -0.22 |   0.11 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.64 |   0.13 |  37.88 |
 y38 |   0.00 |  -5.59 |  -4.55 |   6.37 |   5.09 |  -4.42 |  -2.85 |  -1.40 |  -5.20 |   6.36 |   0.40 |   1.53 |   0.00 |   0.00 |  -0.15 |  -2.50 |  -3.49 |  -1.96 |   0.00 |  -9.76 |   1.37 |  -2.39 |  -1.26 |   0.48 |   0.86 |   3.02 |  -5.93 | -11.69 |   0.33 |   3.96 |   0.00 |  -0.51 |  -0.52 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.87 |   0.80 |  36.90 |
  y1 |   1.00 |  -1.27 |  -0.26 |   0.23 |   0.68 |   0.10 |  -1.14 |   0.27 |  -0.03 |   0.39 |  -0.27 |   0.75 |   0.00 |   0.00 |  -0.69 |   0.58 |  -0.25 |  -0.49 |   0.00 |  -0.79 |   0.56 |   0.10 |  -0.21 |   0.08 |  -0.19 |   0.50 |  -0.66 |  -1.12 |  -0.45 |   0.66 |   0.00 |   0.08 |  -0.09 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.14 |   0.13 |   1.98 |
 y14 |   0.00 |  -3.65 |  -0.58 |   1.29 |   1.82 |  -2.04 |  -3.42 |  -1.33 |  -2.34 |   0.93 |  -0.67 |   0.54 |   0.00 |   1.00 |  -2.92 |  -0.17 |  -1.48 |  -0.94 |   0.00 |  -1.93 |  -1.39 |  -0.99 |   0.90 |   1.80 |   0.10 |   1.04 |  -3.55 |  -4.16 |  -1.46 |  -0.40 |   0.00 |  -0.18 |   0.13 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.45 |   0.33 |   0.83 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |  10.11 | -17.94 |  14.58 |  -4.96 | -19.17 |   0.00 | -49.86 | -39.56 |   5.44 |  19.81 | -22.84 |   0.00 |   0.00 |  -2.34 | -40.70 | -40.19 | -18.47 | -49.55 | -33.38 | -46.60 | -14.01 |   4.53 |   0.13 |  -0.92 |  -8.77 |  -5.03 | -31.99 |  14.49 |  -5.87 |   1.00 |  -7.57 |  -1.08 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   2.70 |   2.20 |  25.74 |
  y7 |   0.00 |   0.36 |   0.98 |  -0.98 |  -0.07 |   1.67 |   1.00 |   3.14 |   2.88 |  -0.12 |  -0.67 |   1.18 |   0.00 |   0.00 |   0.89 |   2.18 |   2.63 |   1.34 |   2.47 |   2.10 |   2.79 |   1.26 |  -0.66 |  -0.60 |   0.17 |   0.31 |   1.51 |   2.45 |  -0.30 |   0.55 |   0.00 |   0.43 |  -0.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.03 |  -0.18 |   0.20 |
 y13 |   0.00 |   1.75 |  -1.58 |   2.56 |  -0.23 |  -2.17 |   0.00 |  -7.00 |  -5.44 |   0.56 |   3.15 |  -2.35 |   1.00 |   0.00 |   0.10 |  -4.88 |  -5.81 |  -2.81 |  -6.35 |  -4.15 |  -5.73 |  -1.60 |   2.19 |   1.40 |   0.58 |  -0.42 |  -1.21 |  -3.44 |   2.46 |  -0.08 |   0.00 |  -1.00 |  -0.06 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.40 |   0.38 |   3.21 |
 y34 |   0.00 |  -3.29 |  11.95 |  -7.71 |  11.62 |   9.33 |   0.00 |  33.29 |  27.00 |   8.00 |  -3.10 |  19.62 |   0.00 |   0.00 |  -0.48 |  21.86 |  20.00 |  13.43 |  24.19 |  15.95 |  29.33 |  12.76 |  -3.57 |   2.05 |   1.33 |  11.62 |   6.52 |  17.14 |  -6.10 |   4.10 |   0.00 |   3.86 |  -0.29 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.81 |  -0.86 |  32.90 |
 y35 |   0.00 |   9.11 |   4.06 |  -3.92 |  -4.46 |   6.83 |   0.00 |   5.14 |   1.94 |   0.94 |   3.31 |   2.66 |   0.00 |   0.00 |   1.16 |   1.30 |   2.31 |   5.03 |   2.95 |   2.12 |   7.90 |   3.49 |  -0.97 |  -2.37 |  -3.92 |  -3.77 |   1.97 |   1.51 |  -1.51 |   3.13 |   0.00 |   0.43 |  -0.58 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.20 |  -0.80 |  11.74 |
 y36 |   0.00 |   5.64 |  -0.98 |  -0.02 |   6.07 |   6.33 |   0.00 |   1.86 |   5.13 |   1.13 |   0.67 |   1.82 |   0.00 |   0.00 |   8.11 |   2.82 |   5.38 |   2.66 |   0.53 |  -3.10 |   5.21 |   5.74 |  -0.34 |  -1.40 |  -2.17 |   3.69 |   7.49 |   7.55 |   2.30 |  10.45 |   0.00 |   0.57 |  -0.98 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.03 |   0.18 |  21.80 |
 y37 |   0.00 |  -1.46 |   0.96 |  -0.60 |   9.03 |   2.50 |   0.00 |   3.71 |  -0.31 |   3.69 |   3.87 |   3.65 |   0.00 |   0.00 |   1.46 |   6.52 |   0.56 |   4.13 |   2.08 |   6.28 |   3.81 |   3.76 |   5.13 |   3.47 |   3.75 |   5.46 |  -1.48 |  -2.46 |   4.80 |   4.32 |   0.00 |   0.14 |   0.10 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.67 |  -0.02 |  38.05 |
 y38 |   0.00 |  -4.57 |  -1.76 |   3.57 |   4.90 |   0.33 |   0.00 |   7.57 |   3.00 |   6.00 |  -1.52 |   4.90 |   0.00 |   0.00 |   2.38 |   3.71 |   4.00 |   1.86 |   7.05 |  -3.76 |   9.33 |   1.19 |  -3.14 |  -1.24 |   1.33 |   3.90 |  -1.62 |  -4.71 |  -0.52 |   5.52 |   0.00 |   0.71 |  -0.57 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.95 |   0.29 |  37.48 |
  y1 |   1.00 |  -0.86 |   0.86 |  -0.89 |   0.61 |   2.00 |   0.00 |   3.86 |   3.25 |   0.25 |  -1.04 |   2.11 |   0.00 |   0.00 |   0.32 |   3.07 |   2.75 |   1.04 |   2.82 |   1.61 |   3.75 |   1.54 |  -0.96 |  -0.61 |   0.00 |   0.86 |   1.07 |   1.68 |  -0.79 |   1.29 |   0.00 |   0.57 |  -0.11 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.18 |  -0.07 |   2.21 |
 y14 |   0.00 |  -2.43 |   2.76 |  -2.07 |   1.60 |   3.67 |   0.00 |   9.43 |   7.50 |   0.50 |  -2.98 |   4.60 |   0.00 |   1.00 |   0.12 |   7.29 |   7.50 |   3.64 |   8.45 |   5.26 |   8.17 |   3.31 |  -1.36 |  -0.26 |   0.67 |   2.10 |   1.62 |   4.21 |  -2.48 |   1.48 |   0.00 |   1.29 |   0.07 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.55 |  -0.29 |   1.52 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |   0.15 |  -8.93 |   0.00 |  -3.66 |  -6.84 |   0.00 | -10.03 |  -8.62 |   2.24 |   1.91 |  -9.44 |  -5.69 |   0.00 |  -2.93 | -12.96 |  -7.11 |  -2.47 | -13.40 |  -9.79 | -14.01 |  -4.89 |  -7.92 |  -7.81 |  -4.24 |  -6.40 |   1.85 | -12.43 |   0.51 |  -5.39 |   1.00 |  -1.88 |  -0.72 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.45 |   0.06 |   7.49 |
  y7 |   0.00 |   1.03 |   0.37 |   0.00 |  -0.15 |   0.84 |   1.00 |   0.46 |   0.79 |   0.09 |   0.53 |   0.28 |   0.38 |   0.00 |   0.93 |   0.31 |   0.40 |   0.26 |   0.03 |   0.51 |   0.60 |   0.64 |   0.18 |  -0.07 |   0.39 |   0.15 |   1.05 |   1.13 |   0.64 |   0.52 |   0.00 |   0.05 |  -0.04 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.12 |  -0.03 |   1.43 |
  y4 |   0.00 |   0.68 |  -0.62 |   1.00 |  -0.09 |  -0.85 |   0.00 |  -2.73 |  -2.12 |   0.22 |   1.23 |  -0.92 |   0.39 |   0.00 |   0.04 |  -1.90 |  -2.27 |  -1.10 |  -2.48 |  -1.62 |  -2.24 |  -0.63 |   0.85 |   0.54 |   0.23 |  -0.16 |  -0.47 |  -1.34 |   0.96 |  -0.03 |   0.00 |  -0.39 |  -0.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.15 |   0.15 |   1.25 |
 y34 |   0.00 |   1.98 |   7.19 |   0.00 |  10.93 |   2.81 |   0.00 |  12.21 |  10.63 |   9.69 |   6.38 |  12.53 |   3.01 |   0.00 |  -0.16 |   7.18 |   2.50 |   4.96 |   5.06 |   3.47 |  12.09 |   7.93 |   3.01 |   6.25 |   3.09 |  10.36 |   2.89 |   6.79 |   1.31 |   3.84 |   0.00 |   0.85 |  -0.47 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.62 |   0.27 |  42.56 |
 y35 |   0.00 |  11.78 |   1.64 |   0.00 |  -4.81 |   3.52 |   0.00 |  -5.56 |  -6.38 |   1.80 |   8.12 |  -0.94 |   1.53 |   0.00 |   1.32 |  -6.15 |  -6.58 |   0.72 |  -6.77 |  -4.22 |  -0.87 |   1.03 |   2.37 |  -0.24 |  -3.02 |  -4.41 |   0.12 |  -3.75 |   2.25 |   3.00 |   0.00 |  -1.10 |  -0.68 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.80 |  -0.23 |  16.65 |
 y36 |   0.00 |   5.66 |  -0.99 |   0.00 |   6.06 |   6.32 |   0.00 |   1.81 |   5.09 |   1.13 |   0.69 |   1.80 |   0.01 |   0.00 |   8.11 |   2.79 |   5.33 |   2.64 |   0.49 |  -3.13 |   5.17 |   5.73 |  -0.32 |  -1.39 |  -2.16 |   3.69 |   7.48 |   7.53 |   2.31 |  10.45 |   0.00 |   0.56 |  -0.98 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.03 |   0.18 |  21.82 |
 y37 |   0.00 |  -1.06 |   0.59 |   0.00 |   8.97 |   1.99 |   0.00 |   2.08 |  -1.58 |   3.82 |   4.60 |   3.10 |   0.23 |   0.00 |   1.48 |   5.38 |  -0.79 |   3.48 |   0.60 |   5.31 |   2.48 |   3.38 |   5.64 |   3.80 |   3.89 |   5.37 |  -1.76 |  -3.26 |   5.38 |   4.30 |   0.00 |  -0.09 |   0.08 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.58 |   0.07 |  38.80 |
 y38 |   0.00 |  -7.01 |   0.44 |   0.00 |   5.22 |   3.35 |   0.00 |  17.33 |  10.58 |   5.22 |  -5.91 |   8.19 |  -1.39 |   0.00 |   2.24 |  10.51 |  12.10 |   5.78 |  15.90 |   2.02 |  17.32 |   3.43 |  -6.19 |  -3.18 |   0.52 |   4.49 |   0.07 |   0.08 |  -3.95 |   5.64 |   0.00 |   2.11 |  -0.48 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  -1.50 |  -0.24 |  33.00 |
  y1 |   1.00 |  -0.25 |   0.31 |   0.00 |   0.53 |   1.25 |   0.00 |   1.42 |   1.36 |   0.45 |   0.06 |   1.29 |   0.35 |   0.00 |   0.36 |   1.37 |   0.72 |   0.06 |   0.61 |   0.16 |   1.75 |   0.98 |  -0.20 |  -0.12 |   0.20 |   0.71 |   0.65 |   0.48 |   0.07 |   1.26 |   0.00 |   0.22 |  -0.13 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.04 |   0.06 |   3.33 |
 y14 |   0.00 |  -1.01 |   1.48 |   0.00 |   1.41 |   1.92 |   0.00 |   3.77 |   3.10 |   0.95 |  -0.43 |   2.69 |   0.81 |   1.00 |   0.20 |   3.34 |   2.80 |   1.37 |   3.32 |   1.91 |   3.54 |   2.01 |   0.41 |   0.87 |   1.14 |   1.76 |   0.64 |   1.44 |  -0.49 |   1.41 |   0.00 |   0.48 |   0.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.23 |   0.02 |   4.12 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |  -1.68 |  -6.26 |   0.00 |  -1.11 |  -3.38 |   0.00 |  -3.23 |  -3.02 |   3.96 |   1.13 |  -4.58 |  -4.23 |   1.80 |  -2.57 |  -6.92 |  -2.06 |   0.00 |  -7.41 |  -6.34 |  -7.63 |  -1.26 |  -7.18 |  -6.25 |  -2.18 |  -3.23 |   3.00 |  -9.84 |  -0.38 |  -2.85 |   1.00 |  -1.02 |  -0.69 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.04 |   0.09 |  14.92 |
  y7 |   0.00 |   1.22 |   0.09 |   0.00 |  -0.42 |   0.47 |   1.00 |  -0.26 |   0.20 |  -0.09 |   0.62 |  -0.23 |   0.23 |  -0.19 |   0.89 |  -0.33 |  -0.14 |   0.00 |  -0.60 |   0.15 |  -0.08 |   0.26 |   0.10 |  -0.23 |   0.17 |  -0.19 |   0.93 |   0.85 |   0.74 |   0.25 |   0.00 |  -0.05 |  -0.05 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.17 |  -0.04 |   0.65 |
  y4 |   0.00 |  -0.13 |   0.57 |   1.00 |   1.04 |   0.69 |   0.00 |   0.29 |   0.37 |   0.98 |   0.88 |   1.24 |   1.04 |   0.80 |   0.20 |   0.78 |  -0.02 |   0.00 |   0.18 |  -0.09 |   0.60 |   0.99 |   1.18 |   1.24 |   1.14 |   1.25 |   0.04 |  -0.19 |   0.57 |   1.10 |   0.00 |  -0.01 |  -0.01 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.03 |   0.16 |   4.55 |
 y34 |   0.00 |   5.66 |   1.82 |   0.00 |   5.82 |  -4.13 |   0.00 |  -1.45 |  -0.62 |   6.23 |   7.94 |   2.78 |   0.08 |  -3.62 |  -0.90 |  -4.94 |  -7.65 |   0.00 |  -6.95 |  -3.45 |  -0.72 |   0.64 |   1.52 |   3.11 |  -1.03 |   3.99 |   0.56 |   1.59 |   3.08 |  -1.26 |   0.00 |  -0.88 |  -0.55 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.21 |   0.21 |  27.64 |
 y35 |   0.00 |  12.32 |   0.85 |   0.00 |  -5.56 |   2.51 |   0.00 |  -7.56 |  -8.02 |   1.29 |   8.35 |  -2.36 |   1.10 |  -0.53 |   1.21 |  -7.92 |  -8.06 |   0.00 |  -8.53 |  -5.23 |  -2.74 |  -0.03 |   2.16 |  -0.70 |  -3.63 |  -5.34 |  -0.22 |  -4.51 |   2.51 |   2.26 |   0.00 |  -1.35 |  -0.69 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.93 |  -0.24 |  14.47 |
 y36 |   0.00 |   7.61 |  -3.85 |   0.00 |   3.34 |   2.62 |   0.00 |  -5.46 |  -0.90 |  -0.71 |   1.53 |  -3.39 |  -1.55 |  -1.93 |   7.72 |  -3.66 |  -0.07 |   0.00 |  -5.91 |  -6.82 |  -1.65 |   1.85 |  -1.12 |  -3.06 |  -4.36 |   0.30 |   6.24 |   4.76 |   3.26 |   7.73 |   0.00 |  -0.36 |  -1.02 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.47 |   0.15 |  13.88 |
 y37 |   0.00 |   1.52 |  -3.17 |   0.00 |   5.39 |  -2.87 |   0.00 |  -7.49 |  -9.47 |   1.39 |   5.70 |  -3.73 |  -1.82 |  -2.54 |   0.96 |  -3.11 |  -7.91 |   0.00 |  -7.82 |   0.46 |  -6.50 |  -1.73 |   4.60 |   1.60 |   1.00 |   0.90 |  -3.40 |  -6.90 |   6.62 |   0.72 |   0.00 |  -1.30 |   0.03 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.03 |  28.35 |
 y38 |   0.00 |  -2.73 |  -5.81 |   0.00 |  -0.72 |  -4.73 |   0.00 |   1.42 |  -2.52 |   1.19 |  -4.08 |  -3.17 |  -4.80 |  -4.22 |   1.38 |  -3.60 |   0.28 |   0.00 |   1.91 |  -6.04 |   2.40 |  -5.07 |  -7.93 |  -6.84 |  -4.28 |  -2.93 |  -2.64 |  -5.98 |  -1.89 |  -0.30 |   0.00 |   0.09 |  -0.57 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.54 |  -0.31 |  15.63 |
  y1 |   1.00 |  -0.21 |   0.25 |   0.00 |   0.47 |   1.17 |   0.00 |   1.26 |   1.23 |   0.41 |   0.08 |   1.18 |   0.32 |  -0.04 |   0.35 |   1.24 |   0.61 |   0.00 |   0.47 |   0.08 |   1.61 |   0.89 |  -0.22 |  -0.16 |   0.16 |   0.64 |   0.62 |   0.42 |   0.09 |   1.20 |   0.00 |   0.20 |  -0.13 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.03 |   0.06 |   3.16 |
 y18 |   0.00 |  -0.74 |   1.08 |   0.00 |   1.03 |   1.40 |   0.00 |   2.75 |   2.27 |   0.70 |  -0.32 |   1.97 |   0.59 |   0.73 |   0.15 |   2.44 |   2.05 |   1.00 |   2.42 |   1.40 |   2.58 |   1.47 |   0.30 |   0.63 |   0.83 |   1.28 |   0.47 |   1.05 |  -0.36 |   1.03 |   0.00 |   0.35 |   0.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.17 |   0.01 |   3.01 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 | -35.00 |  42.44 |   0.00 |  45.22 |  59.56 |   0.00 | 120.67 |  99.00 |  35.33 | -13.11 |  83.89 |  22.33 |  34.67 |   4.11 | 103.00 |  90.00 |  45.00 | 101.56 |  56.44 | 108.56 |  64.89 |   6.33 |  22.22 |  35.22 |  54.56 |  24.11 |  37.33 | -16.44 |  43.44 |   1.00 |  14.67 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -7.44 |   0.67 | 150.22 |
  y7 |   0.00 |  -1.00 |   3.33 |   0.00 |   2.67 |   4.67 |   1.00 |   8.00 |   7.00 |   2.00 |  -0.33 |   5.67 |   2.00 |   2.00 |   1.33 |   7.00 |   6.00 |   3.00 |   6.67 |   4.33 |   7.67 |   4.67 |   1.00 |   1.67 |   2.67 |   3.67 |   2.33 |   4.00 |  -0.33 |   3.33 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.33 |  -0.00 |   9.67 |
  y4 |   0.00 |  -0.50 |   1.11 |   1.00 |   1.56 |   1.39 |   0.00 |   1.67 |   1.50 |   1.33 |   0.72 |   2.22 |   1.33 |   1.17 |   0.28 |   2.00 |   1.00 |   0.50 |   1.39 |   0.61 |   1.89 |   1.72 |   1.33 |   1.56 |   1.56 |   1.89 |   0.28 |   0.33 |   0.39 |   1.61 |   0.00 |   0.17 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.11 |   0.17 |   6.06 |
 y34 |   0.00 | -21.00 |  40.78 |   0.00 |  42.89 |  46.22 |   0.00 |  97.67 |  81.00 |  31.33 |  -3.44 |  73.56 |  21.33 |  22.67 |   4.44 |  83.00 |  66.00 |  36.00 |  80.22 |  46.78 |  92.22 |  53.56 |  12.33 |  25.89 |  28.89 |  50.22 |  17.44 |  39.33 |  -9.78 |  35.78 |   0.00 |  11.67 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -5.78 |   0.67 | 135.89 |
 y35 |   0.00 | -21.00 |  49.56 |   0.00 |  40.78 |  65.44 |   0.00 | 116.33 |  94.00 |  32.67 |  -5.89 |  86.11 |  27.67 |  32.33 |   7.89 | 102.00 |  84.00 |  45.00 | 100.44 |  57.56 | 113.44 |  66.11 |  15.67 |  27.78 |  33.78 |  52.44 |  20.89 |  42.67 | -13.56 |  48.56 |   0.00 |  14.33 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  -6.56 |   0.33 | 149.78 |
